#,Nome,Categoria,Favorito,Resolvidos,Nível,col_6
1000,,Hello World!,Iniciante,,468.488,5
1001,,Extremamente Básico,Iniciante,,673.167,4
1002,,Área do Círculo,Iniciante,,502.208,4
1003,,Soma Simples,Iniciante,,480.045,1
1004,,Produto Simples,Iniciante,,452.173,1
1005,,Média 1,Iniciante,,408.805,2
1006,,Média 2,Iniciante,,371.956,1
1007,,Diferença,Iniciante,,385.921,1
1008,,Salário,Iniciante,,362.537,2
1009,,Salário com Bônus,Iniciante,,327.844,2
1010,,Cálculo Simples,Iniciante,,302.453,3
1011,,Esfera,Iniciante,,282.752,2
1012,,Área,Iniciante,,262.909,2
1013,,O Maior,Iniciante,,256.918,3
1014,,Consumo,Iniciante,,267.467,1
1015,,Distância Entre Dois Pontos,Iniciante,,266.270,1
1016,,Distância,Iniciante,,231.266,1
1017,,Gasto de Combustível,Iniciante,,239.931,1
1018,,Cédulas,Iniciante,,222.695,4
1019,,Conversão de Tempo,Iniciante,,230.816,1
1020,,Idade em Dias,Iniciante,,228.705,2
1021,,Notas e Moedas,Iniciante,,150.422,6
1022,,TDA Racional,Estruturas e Bibliotecas,,15.917,4
1023,,Estiagem,Estruturas e Bibliotecas,,7.506,10
1024,,Criptografia,Strings,,33.291,5
1025,,Onde está o Mármore?,Estruturas e Bibliotecas,,13.530,8
1026,,Carrega ou não Carrega?,Ad-Hoc,,22.791,5
1027,,Onda Crítica,Paradigmas,,1.425,9
1028,,Figurinhas,Matemática,,26.298,3
1029,,"Fibonacci, Quantas Chamadas?",Paradigmas,,22.971,4
1030,,A Lenda de Flavious Josephus,Ad-Hoc,,15.172,4
1031,,Crise de Energia,Ad-Hoc,,6.539,4
1032,,O Primo de Josephus,Ad-Hoc,,3.878,6
1033,,Quantas Chamadas Recursivas?,Paradigmas,,1.834,6
1034,,Festival de Estátuas de Gelo,Paradigmas,,4.792,8
1035,,Teste de Seleção 1,Iniciante,,217.877,2
1036,,Fórmula de Bhaskara,Iniciante,,191.555,3
1037,,Intervalo,Iniciante,,205.356,3
1038,,Lanche,Iniciante,,211.489,1
1039,,Flores de Fogo,Geometria Computacional,,10.476,5
1040,,Média 3,Iniciante,,151.566,5
1041,,Coordenadas de um Ponto,Iniciante,,168.479,3
1042,,Sort Simples,Iniciante,,160.360,2
1043,,Triângulo,Iniciante,,140.228,2
1044,,Múltiplos,Iniciante,,167.475,2
1045,,Tipos de Triângulos,Iniciante,,126.978,4
1046,,Tempo de Jogo,Iniciante,,130.524,2
1047,,Tempo de Jogo com Minutos,Iniciante,,98.023,9
1048,,Aumento de Salário,Iniciante,,135.853,2
1049,,Animal,Iniciante,,109.959,3
1050,,DDD,Iniciante,,149.342,2
1051,,Imposto de Renda,Iniciante,,107.270,2
1052,,Mês,Iniciante,,134.150,2
1053,,Desenho Contínuo,Grafos,,163,10
1054,,Sapo Dinâmico,Paradigmas,,1.324,7
1055,,Soma Permutada Elegante,Paradigmas,,1.138,7
1056,,Fatores e Múltiplos,Grafos,,684,9
1057,,Chegando Junto,Grafos,,569,8
1058,,Zonas de Ataque Independentes,Paradigmas,,254,8
1059,,Números Pares,Iniciante,,162.535,1
1060,,Números Positivos,Iniciante,,139.209,1
1061,,Tempo de um Evento,Iniciante,,62.271,3
1062,,Trilhos,Estruturas e Bibliotecas,,9.581,5
1063,,Trilhos Novamente... Traçando Movimentos,Estruturas e Bibliotecas,,4.496,4
1064,,Positivos e Média,Iniciante,,125.868,2
1065,,Pares entre Cinco Números,Iniciante,,120.891,1
1066,,"Pares, Ímpares, Positivos e Negativos",Iniciante,,120.592,1
1067,,Números Ímpares,Iniciante,,131.664,2
